userId,Date,Amount
a0fe-a692dacd64b7,2/4/2023,1
a0fe-a692dacd64b7,2/4/2023,5
9183-3bce9be05d70,2/4/2023,450
8c35-73b87e81ed21,2/4/2023,100
90bd-5b6de199cfc4,2/4/2023,50
930b-68f133c9aefc,2/5/2023,1
b979-ff7cfb21a6d7,2/5/2023,5
a227-1e395f678794,2/5/2023,10
ad99-ff8bbc752e97,2/5/2023,20
91b8-92034cd251a3,2/5/2023,10
882b-0988aef85c8d,2/5/2023,1000
b0a4-6fa88dbc158d,2/5/2023,50
ab51-d81547c40ea7,3/6/2023,1000
a5b1-d8f7dce34a76,2/5/2023,55
9a7b-18835ff8172b,2/5/2023,7
a9bd-1fe7141aacb9,2/5/2023,10
97eb-4c1ecfbda3e4,2/5/2023,10
99cd-b5ed75600f1f,2/5/2023,2000
84cf-e4d24ef951cf,2/5/2023,200
a0fe-a692dacd64b7,2/5/2023,5
a227-1e395f678794,2/5/2023,5
90bd-5b6de199cfc4,2/5/2023,100
91b8-92034cd251a3,2/5/2023,12
90bd-5b6de199cfc4,2/5/2023,100
90bd-5b6de199cfc4,2/5/2023,100
9c1c-723ddc7619dc,2/5/2023,5
8f0f-b36505cdbf08,2/5/2023,209
bf9c-3461326e7933,2/5/2023,55
a6ea-bc9a0987ab17,2/5/2023,500
a934-deffc76d8356,2/5/2023,70
a934-deffc76d8356,2/5/2023,70
a934-deffc76d8356,2/5/2023,70
a934-deffc76d8356,2/5/2023,70
a934-deffc76d8356,2/5/2023,50
8b34-8652ac2a7ee7,2/5/2023,2
8b34-8652ac2a7ee7,2/5/2023,3
8b34-8652ac2a7ee7,2/5/2023,2
a72b-4b2297c96ca6,2/5/2023,5
a91b-03f62844493f,2/5/2023,40
86ae-03e9cdef6bce,2/5/2023,50
8656-2ecdbbd5d931,2/5/2023,60
bdf3-e3eec911da87,2/5/2023,150
96cf-af1557d92a1f,2/5/2023,100
90bd-5b6de199cfc4,3/3/2023,100
b79a-e51da58f5c45,2/5/2023,900
92d5-a6146f7129c8,2/5/2023,150
92d5-a6146f7129c8,2/5/2023,100
806e-8b861deab709,2/5/2023,100
806e-8b861deab709,2/5/2023,50
bc4d-b910c6da4893,2/5/2023,5
9c1c-723ddc7619dc,2/5/2023,56
96cf-af1557d92a1f,2/5/2023,100
bf9c-3461326e7933,2/5/2023,51
a0fe-a692dacd64b7,2/5/2023,6
b67f-74b35e6228d5,2/5/2023,10
a0fe-a692dacd64b7,2/5/2023,3
9d94-edad430317f7,2/5/2023,300
bd35-d19a8814dd18,5/16/2023,100
b67f-74b35e6228d5,2/5/2023,10
a934-deffc76d8356,2/5/2023,10
97f2-1fe2eb419aa9,2/5/2023,20
9806-49968c1526be,2/5/2023,550
9806-49968c1526be,2/5/2023,540
9806-49968c1526be,2/5/2023,500
9053-4a67196a4757,2/5/2023,300
a227-1e395f678794,2/6/2023,20
bdea-dc3cfcd7590e,2/6/2023,3
8d05-7018cc4cdfa4,2/6/2023,800
90bd-5b6de199cfc4,2/6/2023,300
9527-86e689d1408d,2/5/2023,500
9527-86e689d1408d,2/5/2023,500
9c1c-723ddc7619dc,2/6/2023,200
9c1c-723ddc7619dc,2/6/2023,50
a9bd-1fe7141aacb9,2/6/2023,50
a9bd-1fe7141aacb9,2/6/2023,50
a9bd-1fe7141aacb9,2/6/2023,2
a9bd-1fe7141aacb9,2/6/2023,8
a9bd-1fe7141aacb9,2/6/2023,10
9259-ebc1cb859805,2/6/2023,10
97eb-4c1ecfbda3e4,2/6/2023,10
adab-44850c69e90d,3/9/2023,300
bdea-dc3cfcd7590e,2/6/2023,10
bdea-dc3cfcd7590e,2/6/2023,10
bdea-dc3cfcd7590e,2/6/2023,1
bdea-dc3cfcd7590e,2/6/2023,1
bdea-dc3cfcd7590e,2/6/2023,1
9183-3bce9be05d70,2/6/2023,400
951f-f7059748ea31,2/6/2023,10
a91b-03f62844493f,2/6/2023,0.2
aae6-c4ee487f3cf3,2/6/2023,100
9c33-a2fea2a60ab0,2/6/2023,150
8453-36c3edf93124,2/6/2023,10
9c4e-ec9c65daa302,3/3/2023,100
9527-86e689d1408d,2/6/2023,400
a91b-03f62844493f,2/6/2023,110
9d94-edad430317f7,2/6/2023,1700
bdea-dc3cfcd7590e,2/6/2023,1
bdea-dc3cfcd7590e,2/6/2023,1
965b-c35395da62fb,2/6/2023,40
aeff-365623b43944,2/6/2023,45
a4f5-8499283243ee,2/6/2023,200
b67f-c65a354a377f,2/6/2023,9
b67f-c65a354a377f,2/6/2023,9
bc07-d3708fcf7b8c,2/6/2023,1
bc07-d3708fcf7b8c,2/6/2023,1
a227-1e395f678794,2/6/2023,10
9d94-edad430317f7,2/6/2023,50
9c4e-ec9c65daa302,2/6/2023,10
9d94-edad430317f7,2/6/2023,1700
9c4e-ec9c65daa302,2/6/2023,160
8583-169d55e92799,2/6/2023,8
8135-a3ec1f8865e8,2/6/2023,5
9806-49968c1526be,2/6/2023,500
8135-a3ec1f8865e8,2/6/2023,5
b67f-74b35e6228d5,2/6/2023,2
9c4e-ec9c65daa302,2/6/2023,2
b67f-74b35e6228d5,2/6/2023,2
b67f-74b35e6228d5,2/6/2023,10
9c4e-ec9c65daa302,2/6/2023,155
b67f-74b35e6228d5,2/6/2023,10
b979-ff7cfb21a6d7,2/6/2023,10
ad99-ff8bbc752e97,2/6/2023,10
803b-391fd1a239e7,3/6/2023,15
bdea-dc3cfcd7590e,2/6/2023,2
bc07-d3708fcf7b8c,2/6/2023,300
9c1c-723ddc7619dc,2/6/2023,20
9c1c-723ddc7619dc,2/6/2023,200
87e9-9975bad8abc7,2/6/2023,91
9527-86e689d1408d,2/6/2023,50
9c1c-723ddc7619dc,2/6/2023,30
96cf-af1557d92a1f,2/6/2023,50
9c1c-723ddc7619dc,2/6/2023,100
a186-9b05cde03eba,2/6/2023,70
a6ea-bc9a0987ab17,2/6/2023,0.2
a934-deffc76d8356,2/6/2023,130
8d78-48edfc444cc1,2/6/2023,10
8645-c81cf95024e5,3/7/2023,2
8d78-48edfc444cc1,2/6/2023,10
9171-40ab6f4d77af,2/6/2023,20
85a6-427d782758df,2/6/2023,1
a027-8a4cab73139b,2/6/2023,200
ac4c-d99e78190ef2,2/6/2023,160
806e-8b861deab709,2/6/2023,100
9790-9a89c7cff7af,2/6/2023,30
